search URL:,https://patents.google.com/?q=%28Visa%29&assignee=Visa+U.S.A.+Inc.
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10803692-B2,System and method for authorizing financial transactions with online merchants ,Visa U.S.A. Inc.,Thomas Manessis,2008-06-16,2018-05-30,2020-10-13,2020-10-13,https://patents.google.com/patent/US10803692B2/en,https://patentimages.storage.googleapis.com/d8/b9/e5/2ea58359319dab/US10803692-20201013-D00000.png
US-8788329-B2,System and apparatus for linking multiple rewards programs to promote the purchase of specific product mixes ,Visa U.S.A. Inc.,"Corinne Bortolin, Loc Nguyen",2003-09-30,2013-09-25,2014-07-22,2014-07-22,https://patents.google.com/patent/US8788329B2/en,https://patentimages.storage.googleapis.com/d4/50/0f/7a634e1cb123ca/US08788329-20140722-D00000.png
US-11017411-B2,Systems and methods for multi-channel offer redemption ,Visa U.S.A. Inc.,"John Hamilton MacIlwaine, Kirsten Garen, Mark Carlson, George William Coombes, Iv, Russell P. Zink, Patrick Stan, Surendra Keshan",2009-11-24,2018-04-03,2021-05-25,2021-05-25,https://patents.google.com/patent/US11017411B2/en,https://patentimages.storage.googleapis.com/f2/54/40/1318172cd0f2f7/US11017411-20210525-D00000.png
AU-2011285573-B2,Systems and methods to rank and select triggers for real-time offers ,Visa U.S.A. Inc.,"Leigh Amaro, Michael Steven Bankston, James Michael Gebbie, Ryan Hagey, Jeanette Yoder",2010-08-06,2011-08-05,2014-11-27,2014-11-27,https://patents.google.com/patent/AU2011285573B2/en,
US-9031860-B2,Systems and methods to aggregate demand ,Visa U.S.A. Inc.,"Michelle Eng Winters, Alfred William Griggs, Laura DiGioacchino, Diane C. Salmon, Kevin Paul Siegel, Kaushik Subramanian, James Alan VonDerheide, Edward W. Fordyce, III, Leigh Amaro",2009-10-09,2010-10-07,2015-05-12,2015-05-12,https://patents.google.com/patent/US9031860B2/en,https://patentimages.storage.googleapis.com/48/20/83/691980c474f8da/US09031860-20150512-D00000.png
AU-2011258474-B2,Systems and methods for redemption of offers ,Visa U.S.A. Inc.,"Karen Louise Cervenka, Gwen Diane Ma",2010-05-24,2011-05-24,2014-12-11,2014-12-11,https://patents.google.com/patent/AU2011258474B2/en,
US-8517279-B2,Real-time card balance on card plastic ,Visa U.S.A. Inc.,"Nicole Janine Granucci, Carrie Elaine Vriheas, Ayman A. Hammad",2007-09-26,2012-06-11,2013-08-27,2013-08-27,https://patents.google.com/patent/US8517279B2/en,https://patentimages.storage.googleapis.com/92/76/83/2bccfb4d4f7d9d/US08517279-20130827-D00000.png
US-8682716-B2,Method and system for managing limited use coupon and coupon prioritization ,Visa U.S.A. Inc.,"Liane Redford, Bryan Shimko, James Mazour, Rajkumar Viswanathan",2002-09-13,2012-07-03,2014-03-25,2014-03-25,https://patents.google.com/patent/US8682716B2/en,https://patentimages.storage.googleapis.com/e8/82/50/f0d3ad51490a47/US08682716-20140325-D00000.png
US-10275762-B2,Mobile subscriber device for financial transaction tokens ,Visa U.S.A. Inc.,"Patrick L. Faith, Ayman Hammad",2007-06-22,2018-05-02,2019-04-30,2019-04-30,https://patents.google.com/patent/US10275762B2/en,https://patentimages.storage.googleapis.com/3d/bd/ba/fa49daa94aa0c1/US10275762-20190430-D00000.png
US-8190523-B2,Account permanence ,Visa U.S.A. Inc.,Barbara Patterson,2007-09-13,2011-03-25,2012-05-29,2012-05-29,https://patents.google.com/patent/US8190523B2/en,https://patentimages.storage.googleapis.com/61/43/e5/f21960d3a0105e/US08190523-20120529-D00000.png
US-2019026755-A1,Consumer Specific Conditional Rewards ,Visa U.S.A. Inc.,"Edward W. Fordyce, III, Karteek Hasmukh Patel, Shaun Bodington",2006-09-29,2018-09-24,2019-01-24,,https://patents.google.com/patent/US20190026755A1/en,https://patentimages.storage.googleapis.com/76/82/cb/853f51a6509e56/US20190026755A1-20190124-D00000.png
US-8775241-B2,Method and system for determining rewards ,Visa U.S.A. Inc.,"Corinne Bortolin, Jean Elizabeth Farnsworth, Chris S. Nelson, James G. Gordon",2002-07-26,2013-03-27,2014-07-08,2014-07-08,https://patents.google.com/patent/US8775241B2/en,https://patentimages.storage.googleapis.com/04/38/47/1a6950854dff49/US08775241-20140708-D00000.png
US-8831980-B2,Method and system for loading and reloading portable consumer devices ,Visa U.S.A. Inc.,"Nizam Antoo, Chris Britt",2005-12-06,2011-01-06,2014-09-09,2014-09-09,https://patents.google.com/patent/US8831980B2/en,https://patentimages.storage.googleapis.com/f3/71/16/56a43e48a94560/US08831980-20140909-D00000.png
US-11276070-B2,Transaction evaluation for providing rewards ,Visa U.S.A. Inc.,"Edward W. Fordyce, III",2006-08-31,2018-09-27,2022-03-15,2022-03-15,https://patents.google.com/patent/US11276070B2/en,https://patentimages.storage.googleapis.com/8f/ed/17/cb9362440411ed/US11276070-20220315-D00000.png
US-8606630-B2,Systems and methods to deliver targeted advertisements to audience ,Visa U.S.A. Inc.,"Edward W. Fordyce, III, Michelle Eng Winters, Kevin Paul Siegel, Leigh Amaro, Charles Raymond Byce, Nurtekin Savas",2009-10-09,2011-08-30,2013-12-10,2013-12-10,https://patents.google.com/patent/US8606630B2/en,https://patentimages.storage.googleapis.com/6d/60/07/944250f657a5cc/US08606630-20131210-D00000.png
US-11023892-B2,Host capture ,Visa U.S.A. Inc.,Barbara Patterson,2007-09-10,2016-02-08,2021-06-01,2021-06-01,https://patents.google.com/patent/US11023892B2/en,https://patentimages.storage.googleapis.com/4b/5a/49/180adf5980d881/US11023892-20210601-D00000.png
US-8955744-B2,Real time balance on card plastic ,Visa U.S.A. Inc.,"Nicole Janine Granucci, Carrie Elaine Vriheas, Ayman Hammad, James Y. C. Sze",2008-06-19,2012-10-01,2015-02-17,2015-02-17,https://patents.google.com/patent/US8955744B2/en,https://patentimages.storage.googleapis.com/d9/7b/a8/10869c1484f0f8/US08955744-20150217-D00000.png
US-8904481-B2,Method and system for implementing a dynamic verification value ,Visa U.S.A. Inc.,"Thomas Manessis, Gary Gerber",2007-08-20,2012-12-17,2014-12-02,2014-12-02,https://patents.google.com/patent/US8904481B2/en,https://patentimages.storage.googleapis.com/39/a9/3c/3300ef0127d59a/US08904481-20141202-D00000.png
US-8843391-B2,Systems and methods to match identifiers ,Visa U.S.A. Inc.,"Edward W. Fordyce, III, Leigh Amaro, Michelle Eng Winters, Nurtekin Savas, Charles Raymond Byce, Ryan Hagey",2009-10-15,2011-10-19,2014-09-23,2014-09-23,https://patents.google.com/patent/US8843391B2/en,https://patentimages.storage.googleapis.com/be/49/10/b9caaf568c786b/US08843391-20140923-D00000.png
US-8805746-B2,Smart card purchasing transactions using wireless telecommunications network ,Visa U.S.A. Inc.,"Steven R Hoffman, Suzanne C Cutino",1999-07-30,2008-10-06,2014-08-12,2014-08-12,https://patents.google.com/patent/US8805746B2/en,https://patentimages.storage.googleapis.com/a4/37/84/536f7906a504b3/US08805746-20140812-D00000.png
US-8660862-B2,Determination of healthcare coverage using a payment account ,Visa U.S.A. Inc.,"Barbara Elizabeth Patterson, Stacy Pourfallah, Janet Pruitt, Loc Nguyen, Nigel Smith",2005-09-20,2007-05-30,2014-02-25,2014-02-25,https://patents.google.com/patent/US8660862B2/en,https://patentimages.storage.googleapis.com/28/2f/82/1c9c73026eec23/US08660862-20140225-D00000.png
AU-2007339930-B2,Real-time balance updates ,"Visa International Service Association, Visa U.S.A. Inc.","Mark Carlson, Patrick Faith, Ayman Hammad",2006-12-26,2007-12-21,2012-05-24,2012-05-24,https://patents.google.com/patent/AU2007339930B2/en,
US-7657441-B2,Method and system for facilitating electronic dispute resolution ,Visa U.S.A. Inc.,"David Richey, Marie King, Lisa Bernhard, David Van Horn",2002-06-13,2007-07-09,2010-02-02,2010-02-02,https://patents.google.com/patent/US7657441B2/en,https://patentimages.storage.googleapis.com/b6/e8/3e/c5425eb17be2e5/US07657441-20100202-D00000.png
AU-2010226524-B2,Account activity alert ,Visa U.S.A. Inc.,"Brad Nightengale, Sharon Rowberry, Pat Stan",2009-03-19,2010-03-18,2013-09-26,2013-09-26,https://patents.google.com/patent/AU2010226524B2/en,
US-7783564-B2,Compliance control in a card based program ,Visa U.S.A. Inc.,"Matthew James Mullen, Scott David Spivack",2006-07-25,2007-03-23,2010-08-24,2010-08-24,https://patents.google.com/patent/US7783564B2/en,https://patentimages.storage.googleapis.com/63/7e/24/fe4a7dc8096052/US07783564-20100824-D00000.png
AU-2010308414-B2,Systems and methods for advertising services based on an sku-level profile ,"Visa U.S.A., Inc.","Leigh Amaro, Charles Raymond Byce, Edward W. Fordyce Iii, Nurtekin Savas, Kevin Paul Siegel, Michelle Eng Winters",2009-10-19,2010-10-07,2013-08-22,2013-08-22,https://patents.google.com/patent/AU2010308414B2/en,
US-9940627-B2,Mobile coupon method and system ,Visa U.S.A. Inc.,"Mark Carlson, Peter Ciurea",2006-12-26,2007-12-19,2018-04-10,2018-04-10,https://patents.google.com/patent/US9940627B2/en,https://patentimages.storage.googleapis.com/4c/d2/94/eb9cbb200d4225/US09940627-20180410-D00000.png
AU-2010278900-B2,Systems and methods to provide benefits according to account features ,Visa U.S.A. Inc.,"Shaun Bodington, John Carr, Janet Martin, Mark Norris, Ray Olson, Nicola Stiff, Rosann Woods",2009-07-29,2010-07-29,2013-08-15,2013-08-15,https://patents.google.com/patent/AU2010278900B2/en,
AU-2010259034-B2,Coupon card methods and systems ,Visa U.S.A. Inc.,Karen L. Cervenka,2009-06-08,2010-06-07,2014-01-30,2014-01-30,https://patents.google.com/patent/AU2010259034B2/en,
AU-2010303825-B2,Systems and methods for anticipatory advertisement delivery ,Visa U.S.A. Inc.,"Leigh Amaro, Andrew Clyne, Edward W. Fordyce, Ryan Hagey, Ryan Bradford Jolley, Claudia Richter, Nurtekin Savas, James Alan Vonderheide, Michelle Eng Winters",2009-10-09,2010-09-28,2013-11-14,2013-11-14,https://patents.google.com/patent/AU2010303825B2/en,
AU-2007339916-B2,Mobile coupon method and portable consumer device for utilizing same ,Visa U.S.A. Inc.,"Mark Carlson, Peter Ciurea",2006-12-26,2007-12-21,2012-04-12,2012-04-12,https://patents.google.com/patent/AU2007339916B2/en,
US-7522905-B2,Apparatus and method for preventing wireless interrogation of portable consumer devices ,Visa U.S.A. Inc.,"Ayman Hammad, Phil Dixon",2005-06-24,2005-06-24,2009-04-21,2009-04-21,https://patents.google.com/patent/US7522905B2/en,https://patentimages.storage.googleapis.com/fc/1a/b6/a34f5028c4cc13/US07522905-20090421-D00000.png
AU-2009279757-B2,Application currency code for dynamic currency conversion transactions with contactless consumer transaction payment device ,Visa U.S.A. Inc.,Marc Cleven,2008-08-04,2009-08-04,2015-02-12,2015-02-12,https://patents.google.com/patent/AU2009279757B2/en,
US-8005737-B2,Restricting access to compromised account information ,"Visa U.S.A., Inc.",Ayman Hammad,2007-06-25,2010-04-21,2011-08-23,2011-08-23,https://patents.google.com/patent/US8005737B2/en,https://patentimages.storage.googleapis.com/08/1c/7c/c62f2891535561/US08005737-20110823-D00000.png
US-8478232-B2,Prepaid text messaging service ,Visa U.S.A. Inc.,Brett Vasten,2008-06-19,2008-06-19,2013-07-02,2013-07-02,https://patents.google.com/patent/US8478232B2/en,https://patentimages.storage.googleapis.com/9e/58/42/60e2e0492a9e7c/US08478232-20130702-D00000.png
AU-2008282455-B2,Centralized dispute resolution system for commercial transactions ,Visa U.S.A. Inc.,Michael Levine,2007-07-27,2008-07-24,2013-10-10,2013-10-10,https://patents.google.com/patent/AU2008282455B2/en,
AU-2006203957-B2,Method for encoding messages between two devices for transmission over standard online payment networks ,Visa U.S.A. Inc.,"Loc Nguyen, Stacy Pourfallah, Janet Pruitt",2005-01-04,2006-01-04,2011-12-08,2011-12-08,https://patents.google.com/patent/AU2006203957B2/en,
AU-2009206302-B2,System and method for conducting transactions with a financial presentation device linked to multiple accounts ,Visa U.S.A. Inc.,"Kelly Alpert, Barbara Patterson, Stacy Pourfallah, Jennifer Schulz",2008-01-24,2009-01-23,2014-04-10,2014-04-10,https://patents.google.com/patent/AU2009206302B2/en,
AU-2008202750-B2,Platform for loyalty services ,Visa U.S.A. Inc.,David Shepard,2007-06-25,2008-06-23,2013-11-07,2013-11-07,https://patents.google.com/patent/AU2008202750B2/en,
US-7848980-B2,Mobile payment system and method using alias ,Visa U.S.A. Inc.,Mark Carlson,2006-12-26,2007-06-22,2010-12-07,2010-12-07,https://patents.google.com/patent/US7848980B2/en,https://patentimages.storage.googleapis.com/e8/87/7e/425f8cffe2d42d/US07848980-20101207-D00000.png
US-8770470-B2,Device including form factor indicator ,Visa U.S.A. Inc.,"Ayman Hammad, Brian Maw",2008-04-29,2009-04-28,2014-07-08,2014-07-08,https://patents.google.com/patent/US8770470B2/en,https://patentimages.storage.googleapis.com/af/83/99/969d9afa1e8742/US08770470-20140708-D00000.png
US-8281991-B2,Transaction secured in an untrusted environment ,Visa U.S.A. Inc.,"David Wentker, Gabriel Wachob",2008-08-07,2009-08-06,2012-10-09,2012-10-09,https://patents.google.com/patent/US8281991B2/en,https://patentimages.storage.googleapis.com/04/fe/71/ab2bf8752e7ae1/US08281991-20121009-D00000.png
US-8118223-B2,Smart sign mobile transit fare payment ,Visa U.S.A. Inc.,"Ayman Hammad, Phil Dixon",2006-09-28,2008-01-29,2012-02-21,2012-02-21,https://patents.google.com/patent/US8118223B2/en,https://patentimages.storage.googleapis.com/7f/16/43/3007c645c7a3e1/US08118223-20120221-D00000.png
US-8706622-B2,Account holder demand account update ,Visa U.S.A. Inc.,"Michelle E. Winters, Lubna Samad, Laura DiGioacchino",2008-08-05,2008-08-05,2014-04-22,2014-04-22,https://patents.google.com/patent/US8706622B2/en,https://patentimages.storage.googleapis.com/d9/88/f7/294f8bfbaf9ad7/US08706622-20140422-D00000.png
US-8781881-B2,Merchant benchmarking tool ,Visa U.S.A. Inc.,"Jeffrey Rolland Olives, Jay Allen DeWitt, Dennis Norman Moser, James C. Salters, Laura DiGioacchino, Alex Epelman",2007-08-14,2008-08-14,2014-07-15,2014-07-15,https://patents.google.com/patent/US8781881B2/en,https://patentimages.storage.googleapis.com/ba/35/90/9f4cf58b339700/US08781881-20140715-D00000.png
US-9065643-B2,System and method for account identifier obfuscation ,Visa U.S.A. Inc.,"Simon Hurry, Christian Aabye",2006-04-05,2008-06-25,2015-06-23,2015-06-23,https://patents.google.com/patent/US9065643B2/en,https://patentimages.storage.googleapis.com/40/16/ec/8e59100ed70fe0/US09065643-20150623-D00000.png
US-8793184-B2,Mobile payment services ,Visa U.S.A. Inc.,Dhamodharan Lakshminarayanan,2007-02-12,2008-02-07,2014-07-29,2014-07-29,https://patents.google.com/patent/US8793184B2/en,https://patentimages.storage.googleapis.com/96/ee/f2/17270a44b0c860/US08793184-20140729-D00000.png
AU-2008245902-B2,Merchant transaction based advertising ,Visa U.S.A. Inc.,Michael Levine,2007-05-01,2008-04-22,2013-06-20,2013-06-20,https://patents.google.com/patent/AU2008245902B2/en,
AU-2007340018-B2,Mobile vending purchasing ,Visa U. S. A. Inc.,Mark Carlson,2006-12-26,2007-12-20,2012-09-06,2012-09-06,https://patents.google.com/patent/AU2007340018B2/en,
US-8682719-B2,Rewards program manager ,Visa U.S.A. Inc.,"Jodene Laramy, Shaun Bodington, Paula Marie Johnson-Alosi, Denise Nay O'Brien",2007-02-14,2007-03-20,2014-03-25,2014-03-25,https://patents.google.com/patent/US8682719B2/en,https://patentimages.storage.googleapis.com/0c/dd/29/7a0d211bb3755e/US08682719-20140325-D00000.png
US-8359474-B2,Method and system for secure authentication ,Visa U.S.A. Inc.,"Robert W. Seaton, Jr., Terence Spielman, Penny Cornwell, Neal Blackwood, Michael T. Clay",2003-03-31,2010-03-01,2013-01-22,2013-01-22,https://patents.google.com/patent/US8359474B2/en,https://patentimages.storage.googleapis.com/31/a5/aa/893fabb2e3f7e6/US08359474-20130122-D00000.png
US-8833645-B2,"System, apparatus and methods for automatically calculating discounts for purchases from merchants made using a reservation system ",Visa U.S.A. Inc.,"James C. Stretch, Nicole Granucci",2005-06-24,2005-06-24,2014-09-16,2014-09-16,https://patents.google.com/patent/US8833645B2/en,https://patentimages.storage.googleapis.com/25/bf/70/22691618963392/US08833645-20140916-D00000.png
US-8954353-B2,Mobile phone including dynamic verification value ,Visa U.S.A. Inc.,"Patrick Faith, Ayman Hammad",2008-06-24,2008-11-10,2015-02-10,2015-02-10,https://patents.google.com/patent/US8954353B2/en,https://patentimages.storage.googleapis.com/64/4a/65/ad34ace2b67900/US08954353-20150210-D00000.png
US-9070129-B2,Method and system for securing data fields ,Visa U.S.A. Inc.,"John Foxe Sheets, Kim Wagner",2007-09-04,2008-09-02,2015-06-30,2015-06-30,https://patents.google.com/patent/US9070129B2/en,https://patentimages.storage.googleapis.com/eb/42/53/f1c30f2c05d5c3/US09070129-20150630-D00000.png
US-7627522-B2,"System, apparatus and methods for comparing fraud parameters for application during prepaid card enrollment and transactions ",Visa U.S.A. Inc.,Justin T. Monk,2007-06-04,2007-06-04,2009-12-01,2009-12-01,https://patents.google.com/patent/US7627522B2/en,https://patentimages.storage.googleapis.com/ab/85/26/9ca867eeb35afd/US07627522-20091201-D00000.png
US-7665660-B2,Real-time awards determinations ,Visa U.S.A. Inc.,"Lori Degliantoni, Barbara Patterson, David Chauncey Shepard",2007-03-08,2007-03-08,2010-02-23,2010-02-23,https://patents.google.com/patent/US7665660B2/en,https://patentimages.storage.googleapis.com/70/76/97/953a7a4ec5fe1f/US07665660-20100223-D00000.png
US-7571141-B2,Method and system for facilitating payment transactions using access devices ,Visa U.S.A. Inc.,"Jean Huang, Eric Redmond, Pete Heisinger",2002-08-27,2007-01-19,2009-08-04,2009-08-04,https://patents.google.com/patent/US7571141B2/en,https://patentimages.storage.googleapis.com/88/4e/c2/e67caf2bfaa42c/US07571141-20090804-D00000.png
US-7793834-B2,"Financial transaction card with non-embossed, raised indicia ",Visa U.S.A. Inc.,"John Richard Hachey, LeRoy Kevin Isaac",2008-02-13,2008-03-28,2010-09-14,2010-09-14,https://patents.google.com/patent/US7793834B2/en,https://patentimages.storage.googleapis.com/b6/fd/69/ded36b2e45f581/US07793834-20100914-D00000.png
US-7861919-B2,Method and system for managing loyalty program information on a phone ,Visa U.S.A. Inc.,"Paul Spaeth, Douglas Jones, Bryan Shimko, James G. Gordon, Kim Madore, Marc Black, James Mazour, Michael Salters",2002-09-13,2009-09-17,2011-01-04,2011-01-04,https://patents.google.com/patent/US7861919B2/en,https://patentimages.storage.googleapis.com/ae/19/1f/169c13ceeaf864/US07861919-20110104-D00000.png
US-8615438-B2,Time-dependent response to user-determined unauthorized transaction ,Visa International Service Association,Ayman Hammad,2009-04-28,2010-01-14,2013-12-24,2013-12-24,https://patents.google.com/patent/US8615438B2/en,https://patentimages.storage.googleapis.com/9f/f1/6f/a6e1f3baa8ff68/US08615438-20131224-D00000.png
AU-2007358751-B2,Offeree requested offer based on point-of-service to offeree distance ,Visa U.S.A. Inc.,"Jay Allen Dewitt, Dennis Norman Moser",2007-09-13,2007-11-07,2013-08-01,2013-08-01,https://patents.google.com/patent/AU2007358751B2/en,
AU-2007354253-B2,Supply of requested offer based on offeree transaction history ,Visa U.S.A. Inc.,"Jay Allen Dewitt, Dennis Norman Moser",2007-05-30,2007-11-07,2013-09-12,2013-09-12,https://patents.google.com/patent/AU2007354253B2/en,
AU-2007355609-B2,Supply of requested offer based on point-of-service to offeree distance ,Visa U.S.A. Inc.,"Jay Allen Dewitt, Dennis Norman Moser",2007-06-22,2007-11-07,2013-12-19,2013-12-19,https://patents.google.com/patent/AU2007355609B2/en,
US-8604995-B2,Shielding of portable consumer device ,Visa U.S.A. Inc.,Ayman Hammad,2007-06-11,2007-06-11,2013-12-10,2013-12-10,https://patents.google.com/patent/US8604995B2/en,https://patentimages.storage.googleapis.com/d7/12/48/9a1e2f96eae00f/US08604995-20131210-D00000.png
US-8195516-B2,Generating retail sales report ,Visa U.S.A. Inc.,"Jeffrey Rolland Olives, Wayne Thomas Best, Jay Hawkins, Laurence Michael Levin, Tim Gunther",2008-06-25,2009-06-24,2012-06-05,2012-06-05,https://patents.google.com/patent/US8195516B2/en,https://patentimages.storage.googleapis.com/09/4f/e7/9a4acf1113f578/US08195516-20120605-D00000.png
US-9390406-B2,Prepaid chip card exception processing ,Visa U.S.A. Inc.,"Christian Aabye, David William Wilson",2008-04-22,2009-04-22,2016-07-12,2016-07-12,https://patents.google.com/patent/US9390406B2/en,https://patentimages.storage.googleapis.com/a2/b5/ca/71253ad70b8976/US09390406-20160712-D00000.png
US-9710811-B2,Centralized electronic commerce card transactions ,Visa U.S.A. Inc.,Steve Davis,2003-11-06,2009-09-30,2017-07-18,2017-07-18,https://patents.google.com/patent/US9710811B2/en,https://patentimages.storage.googleapis.com/81/f7/ec/5c240ee02f1318/US09710811-20170718-D00000.png
US-7464870-B2,Method and system for providing interactive cardholder rewards image replacement ,Visa U.S.A. Inc.,"Loc Nguyen, Bryan Shimko, Liane Redford, James G. Gordon, Kim Madore, Marc Black, James Mazour, Michael Salters, Glenda Berg",2003-09-12,2006-05-24,2008-12-16,2008-12-16,https://patents.google.com/patent/US7464870B2/en,https://patentimages.storage.googleapis.com/f4/f8/ef/9ea9147564b66e/US07464870-20081216-D00000.png
US-D616298-S,Packaging for fraud detection in a portable device ,Visa U.S.A. Inc.,"Chris Britt, Erin Pursell, Carrie Vriheas, Karen Hyun",2007-04-20,2009-08-14,2010-05-25,2010-05-25,https://patents.google.com/patent/USD616298S1/en,https://patentimages.storage.googleapis.com/79/cd/67/762cc7d0363bf5/USD0616298-20100525-D00000.png
US-7827108-B2,System and method of validating a relationship between a user and a user account at a financial institution ,Visa U.S.A. Inc.,"Jeffrey William Perlman, Sofia Walsh, Gregory Kenneth Storey",2008-11-21,2008-11-21,2010-11-02,2010-11-02,https://patents.google.com/patent/US7827108B2/en,https://patentimages.storage.googleapis.com/38/b0/b3/115a62eac07072/US07827108-20101102-D00000.png
US-9760903-B2,Loyalty rewards optimization bill payables and receivables service ,Visa U.S.A. Inc.,"Raghav Lal, Alfred Chin",2008-04-16,2010-10-06,2017-09-12,2017-09-12,https://patents.google.com/patent/US9760903B2/en,https://patentimages.storage.googleapis.com/ff/14/b1/e91e3a0f9f9469/US09760903-20170912-D00000.png
US-8429085-B2,Financial transaction token with onboard power source ,Visa U.S.A. Inc.,"Patrick L. Faith, Ayman A. Hammad",2007-06-22,2007-06-22,2013-04-23,2013-04-23,https://patents.google.com/patent/US8429085B2/en,https://patentimages.storage.googleapis.com/f0/ec/8d/70ceece4c9451c/US08429085-20130423-D00000.png
US-8864023-B2,Automated submission of prepaid programs ,Visa U.S.A. Inc.,"Carrie Vriheas, Elizabeth Boone Luzader, William Moody, Sandy Lee Belshe",2007-09-28,2012-09-28,2014-10-21,2014-10-21,https://patents.google.com/patent/US8864023B2/en,https://patentimages.storage.googleapis.com/ef/13/78/2249df5498b462/US08864023-20141021-D00000.png
US-8950680-B2,Multifunction removable cover for portable payment device ,Visa U.S.A. Inc.,"Ryan Yuzon, Ayman Hammad",2007-11-28,2011-09-13,2015-02-10,2015-02-10,https://patents.google.com/patent/US8950680B2/en,https://patentimages.storage.googleapis.com/6a/81/f2/b2733169809d7d/US08950680-20150210-D00000.png
US-8636203-B1,Partial authorization of a financial transaction ,Visa U.S.A. Inc.,"Barbara Patterson, Steve Diamond, Todd Brockman, Richard Pileggi, Amy Dalziel",2005-12-06,2006-12-04,2014-01-28,2014-01-28,https://patents.google.com/patent/US8636203B1/en,https://patentimages.storage.googleapis.com/d6/c6/47/28240f66b928ee/US08636203-20140128-D00000.png
US-8311937-B2,Client supported multiple payment methods system ,Visa U.S.A. Inc.,"John N. Marchetti, Matthew Mullen",2007-10-30,2008-02-13,2012-11-13,2012-11-13,https://patents.google.com/patent/US8311937B2/en,https://patentimages.storage.googleapis.com/76/5e/10/260410b48be338/US08311937-20121113-D00000.png
AU-2008270909-B2,Prepaid card fraud and risk management ,Visa U.S.A. Inc.,Justin T. Monk,2007-06-04,2008-06-02,2013-01-10,2013-01-10,https://patents.google.com/patent/AU2008270909B2/en,
AU-2009322183-B2,Payment account processing which conveys non-purchase related data exchanges ,Visa U.S.A. Inc.,"Edward W. Fordyce Iii, Barbara Elizabeth Patterson",2008-12-06,2009-12-04,2014-12-04,2014-12-04,https://patents.google.com/patent/AU2009322183B2/en,
US-8931691-B2,Dynamic payment device characteristics ,Visa U.S.A. Inc.,"Thomas Manessis, Gary Gerber",2007-02-15,2010-12-01,2015-01-13,2015-01-13,https://patents.google.com/patent/US8931691B2/en,https://patentimages.storage.googleapis.com/16/27/06/d0e5e5af271aa4/US08931691-20150113-D00000.png
AU-2006203967-B2,Method and system for determining healthcare eligibility ,Visa U.S.A. Inc.,"Loc Nguyen, Barbara Patterson, Stacy Pourfallah, Janet Pruitt",2005-01-04,2006-01-04,2011-04-21,2011-04-21,https://patents.google.com/patent/AU2006203967B2/en,
US-8010428-B2,Form factor identification ,Visa Usa Inc.,"Brian Maw, Ayman Hammad",2007-09-26,2007-09-26,2011-08-30,2011-08-30,https://patents.google.com/patent/US8010428B2/en,https://patentimages.storage.googleapis.com/3a/e3/89/e281e67ec98167/US08010428-20110830-D00000.png
US-2011054981-A1,Analyzing Local Non-Transactional Data with Transactional Data in Predictive Models ,"Faith Patrick L, Siegel Kevin P","Patrick L. Faith, Kevin P. Siegel",2009-08-27,2009-11-09,2011-03-03,,https://patents.google.com/patent/US20110054981A1/en,https://patentimages.storage.googleapis.com/c5/a3/7a/a9162b262194a9/US20110054981A1-20110303-D00000.png
US-8313021-B2,System and method for managing enhancement features assigned to financial presentation devices ,Visa U.S.A.,"Shaun Bodington, Barbara Elizabeth Patterson, Gregory Charles Trifiletti",2007-05-29,2008-02-04,2012-11-20,2012-11-20,https://patents.google.com/patent/US8313021B2/en,https://patentimages.storage.googleapis.com/48/9b/d3/6812bc8298c7f1/US08313021-20121120-D00000.png
US-8249957-B2,System and method for data completion including push identifier ,Visa U.S.A.,"Matthew Mullen, Mark Rockelman, Barbara Patterson",2008-01-15,2009-01-13,2012-08-21,2012-08-21,https://patents.google.com/patent/US8249957B2/en,https://patentimages.storage.googleapis.com/d2/e6/0d/c9c9ce83abb9c7/US08249957-20120821-D00000.png
US-8631134-B2,Network architecture for secure data communications ,Visa U.S.A. Inc.,"Dennis M. Ceragioli, Melvin Jeyaraj",2008-07-30,2008-07-30,2014-01-14,2014-01-14,https://patents.google.com/patent/US8631134B2/en,https://patentimages.storage.googleapis.com/75/f7/6f/a457392c11eb2c/US08631134-20140114-D00000.png
US-8447669-B2,System and method for implementing financial assistance programs ,Visa U.S.A. Inc.,"Nizam Antoo, Todd J. Brockman",2008-08-26,2008-08-26,2013-05-21,2013-05-21,https://patents.google.com/patent/US8447669B2/en,https://patentimages.storage.googleapis.com/08/51/2e/3288409740919f/US08447669-20130521-D00000.png
US-2011238553-A1,Electronic account-to-account funds transfer ,"Ashwin Raj, John Richard Tullis, Shilpak Mahadkar, Rupa Vazirani","Ashwin Raj, John Richard Tullis, Shilpak Mahadkar, Rupa Vazirani",2010-03-26,2010-06-02,2011-09-29,,https://patents.google.com/patent/US20110238553A1/en,https://patentimages.storage.googleapis.com/bd/23/a4/775894dc018f5e/US20110238553A1-20110929-D00000.png
US-7946502-B2,Financial transaction token ,Visa Usa Inc.,"Patrick L. Faith, Ayman A. Hammad",2008-01-22,2008-01-22,2011-05-24,2011-05-24,https://patents.google.com/patent/US7946502B2/en,https://patentimages.storage.googleapis.com/b2/77/83/3d2fd1cae38ca3/US07946502-20110524-D00000.png
